Ensembl_ID	External_Gene_Name
ENSMUSG00000000948.14	GM38393
ENSMUSG00000000957.9	MMP14
ENSMUSG00000000958.7	SLC7A7
ENSMUSG00000000959.6	OXA1L
ENSMUSG00000000976.11	HEATR6
ENSMUSG00000000982.5	CCL3
ENSMUSG00000000983.11	WFDC18
ENSMUSG00000001014.5	ICAM4
ENSMUSG00000001016.10	ILF2
ENSMUSG00000001017.13	CHTOP
ENSMUSG00000001018.13	SNAPIN
ENSMUSG00000001020.8	S100A4
ENSMUSG00000001021.10	S100A3
ENSMUSG00000001023.8	S100A5
ENSMUSG00000001025.6	S100A6
ENSMUSG00000001027.7	SCN4A
ENSMUSG00000001029.13	ICAM2
ENSMUSG00000001034.15	MAPK7
ENSMUSG00000001036.15	EPN2
ENSMUSG00000001039.10	B9D1
ENSMUSG00000001052.13	SEC24B
ENSMUSG00000001053.13	N4BP3
ENSMUSG00000001054.7	RMND5B
ENSMUSG00000001056.3	NHP2
ENSMUSG00000001062.15	VPS9D1
ENSMUSG00000001065.12	ZFP276
ENSMUSG00000001076.6	C1QL4
ENSMUSG00000001082.10	MFSD10
ENSMUSG00000001089.12	LUZP1
ENSMUSG00000001095.5	SLC13A2
ENSMUSG00000001098.13	KCTD10
ENSMUSG00000001100.8	POLDIP2
ENSMUSG00000001103.7	SEBOX
ENSMUSG00000001105.13	IFT20
ENSMUSG00000001119.7	COL6A1
ENSMUSG00000001120.13	PCBP3
ENSMUSG00000001123.13	LGALS9
ENSMUSG00000001127.10	ARAF
ENSMUSG00000001128.7	CFP
ENSMUSG00000001131.9	TIMP1
ENSMUSG00000001134.7	UXT
ENSMUSG00000001138.11	CNNM3
ENSMUSG00000001143.11	LMAN2L
ENSMUSG00000001150.6	MCM3AP
ENSMUSG00000001151.9	PCNT
ENSMUSG00000001155.11	FTCD
ENSMUSG00000001156.7	MXD1
ENSMUSG00000001157.11	GMCL1
ENSMUSG00000001158.11	SNRNP27
ENSMUSG00000001166.15	OAS1C
ENSMUSG00000001168.14	OAS1H
ENSMUSG00000001173.13	OCRL
ENSMUSG00000001175.11	CALM1
ENSMUSG00000001211.12	AGPAT3
ENSMUSG00000001225.10	SLC26A3
ENSMUSG00000001227.9	SEMA6B
ENSMUSG00000001228.12	UHRF1
ENSMUSG00000001229.7	DPP9
ENSMUSG00000001240.11	RAMP2
ENSMUSG00000001247.14	LSR
ENSMUSG00000001248.12	GRAMD1A
ENSMUSG00000001249.12	HPN
ENSMUSG00000001260.8	GABRG1
ENSMUSG00000001270.8	CKB
ENSMUSG00000001280.10	SP1
ENSMUSG00000001281.7	ITGB7
ENSMUSG00000001285.10	MYG1
ENSMUSG00000001288.12	RARG
ENSMUSG00000001289.10	PFDN5
ENSMUSG00000001300.13	EFNB2
ENSMUSG00000001305.5	RRP15
ENSMUSG00000001313.10	RND2
ENSMUSG00000001323.15	SRR
ENSMUSG00000001333.9	SYNC
ENSMUSG00000001334.9	FNDC5
ENSMUSG00000001348.12	ACP5
ENSMUSG00000001349.4	CNN1
ENSMUSG00000001366.12	FBXO9
ENSMUSG00000001376.15	CCDC132
ENSMUSG00000001380.6	HARS
ENSMUSG00000001383.8	ZMAT2
ENSMUSG00000001403.11	UBE2C
ENSMUSG00000001415.8	SMG5
ENSMUSG00000001416.11	CCT3
ENSMUSG00000001418.11	GLMP
ENSMUSG00000001419.15	MEF2D
ENSMUSG00000001420.11	TMEM79
ENSMUSG00000001424.12	SND1
ENSMUSG00000001435.12	COL18A1
ENSMUSG00000001436.13	SLC19A1
ENSMUSG00000001440.5	KPNB1
ENSMUSG00000001441.11	NPEPPS
ENSMUSG00000001444.2	TBX21
ENSMUSG00000001445.8	MRPL10
ENSMUSG00000001467.5	CYP51
ENSMUSG00000001472.14	TCF25
ENSMUSG00000001473.6	TUBB6
ENSMUSG00000001482.12	DEF8
ENSMUSG00000001493.9	MEOX1
ENSMUSG00000001494.6	SOST
ENSMUSG00000001496.13	NKX2-1
ENSMUSG00000001497.16	PAX9
ENSMUSG00000001504.10	IRX2
ENSMUSG00000001506.10	COL1A1
ENSMUSG00000001507.14	ITGA3
ENSMUSG00000001508.13	SGCA
ENSMUSG00000001510.8	DLX3
ENSMUSG00000001517.12	FOXM1
ENSMUSG00000001518.10	ITFG2
ENSMUSG00000001520.10	NRIP2
ENSMUSG00000001521.10	TULP3
ENSMUSG00000001524.12	GTF2H4
ENSMUSG00000001525.10	TUBB5
ENSMUSG00000001542.6	ELL2
ENSMUSG00000001552.12	JUP
ENSMUSG00000001555.8	FKBP10
ENSMUSG00000001558.5	KLHL10
ENSMUSG00000001566.9	MNX1
ENSMUSG00000001569.10	NOM1
ENSMUSG00000001576.12	ERGIC1
ENSMUSG00000001583.11	TNK1
ENSMUSG00000001588.10	ACAP1
ENSMUSG00000001604.12	TCEA3
ENSMUSG00000001622.13	CSN3
ENSMUSG00000001627.9	IFRD1
ENSMUSG00000001630.11	STK38L
ENSMUSG00000001632.14	BRPF1
ENSMUSG00000001642.16	AKR1B3
ENSMUSG00000001655.6	HOXC13
ENSMUSG00000001656.3	HOXC11
ENSMUSG00000001657.7	HOXC8
ENSMUSG00000001661.5	HOXC6
ENSMUSG00000001663.8	GSTT1
ENSMUSG00000001665.8	GSTT3
ENSMUSG00000001666.8	DDT
ENSMUSG00000001670.11	TAT
ENSMUSG00000001672.12	MARVELD3
ENSMUSG00000001674.9	DDX18
ENSMUSG00000001687.13	UBL3
ENSMUSG00000001700.9	GRAMD3
ENSMUSG00000001707.7	EEF1E1
ENSMUSG00000001729.12	AKT1
ENSMUSG00000001739.12	CLDN15
ENSMUSG00000001741.9	IL16
ENSMUSG00000001750.13	TCIRG1
ENSMUSG00000001751.9	NAGLU
ENSMUSG00000001755.10	COASY
ENSMUSG00000001761.7	SMO
ENSMUSG00000001763.12	TSPAN33
ENSMUSG00000001767.5	CRNKL1
ENSMUSG00000001768.13	RIN2
ENSMUSG00000001773.11	FOLH1
ENSMUSG00000001774.7	CHORDC1
ENSMUSG00000001783.3	RTCB
ENSMUSG00000001785.9	PWP1
ENSMUSG00000001786.12	FBXO7
ENSMUSG00000001794.10	CAPNS1
ENSMUSG00000001802.14	LRP3
ENSMUSG00000001804.9	DSG4
ENSMUSG00000001815.13	EVX2
ENSMUSG00000001819.4	HOXD13
ENSMUSG00000001823.5	HOXD12
ENSMUSG00000001827.9	FOLR1
ENSMUSG00000001829.14	CLPB
ENSMUSG00000001833.14	43350
ENSMUSG00000001844.8	ZDHHC4
ENSMUSG00000001847.12	RAC1
ENSMUSG00000001855.13	NUP214
ENSMUSG00000001864.11	AIF1L
ENSMUSG00000001865.2	CPA3
ENSMUSG00000001870.13	LTBP1
ENSMUSG00000001891.14	UGP2
ENSMUSG00000001901.13	KCNH6
ENSMUSG00000001909.13	TRMT1
ENSMUSG00000001910.4	NACC1
ENSMUSG00000001911.14	NFIX
ENSMUSG00000001918.15	SLC1A5
ENSMUSG00000001924.13	UBA1
ENSMUSG00000001930.15	VWF
ENSMUSG00000001942.7	SIAE
ENSMUSG00000001943.7	VSIG2
ENSMUSG00000001946.11	ESAM
ENSMUSG00000001948.9	SPA17
ENSMUSG00000001962.8	FAM50A
ENSMUSG00000001964.12	EMD
ENSMUSG00000001983.7	TACO1
ENSMUSG00000001985.9	GRIK3
ENSMUSG00000001986.14	GRIA3
ENSMUSG00000001988.8	NPAS1
